sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,base_image,small_image,thumbnail_image,qty,is_in_stock
RCQ_001,Default,simple,"Rau cu qua/Cu qua",base,Cà rốt,"<p><strong>Đặc điểm:</strong> Cà rốt tươi, màu cam tự nhiên, củ chắc, vị ngọt nhẹ.</p><p><strong>Công dụng:</strong> Giàu beta-carotene và vitamin A, hỗ trợ thị lực và tăng cường đề kháng.</p><p><strong>Cách bảo quản:</strong> Lau khô, bọc giấy/cho vào túi zip, bảo quản ngăn mát 4-8°C.</p><p><strong>Thời hạn sử dụng:</strong> Ngon nhất trong 5-7 ngày kể từ khi nhận hàng.</p>","Cà rốt tươi - giòn ngọt",1,1,Taxable Goods,"Catalog, Search",15000,rcq-001-carrot,/rau-cu-qua/carrot.jpg,/rau-cu-qua/carrot.jpg,/rau-cu-qua/carrot.jpg,100,1
RCQ_002,Default,simple,"Rau cu qua/Rau gia vi",base,Ớt,"<p><strong>Đặc điểm:</strong> Ớt tươi, quả chắc, cay thơm, màu sắc tự nhiên.</p><p><strong>Công dụng:</strong> Tăng hương vị món ăn, hỗ trợ tiêu hoá nhờ capsaicin và vitamin C.</p><p><strong>Cách bảo quản:</strong> Để khô ráo, bảo quản ngăn mát; có thể cấp đông để dùng dần.</p><p><strong>Thời hạn sử dụng:</strong> 7-10 ngày trong ngăn mát (tuỳ độ chín).</p>","Ớt tươi - cay thơm",1,1,Taxable Goods,"Catalog, Search",18000,rcq-002-chilli,/rau-cu-qua/chilli.jpg,/rau-cu-qua/chilli.jpg,/rau-cu-qua/chilli.jpg,100,1
RCQ_003,Default,simple,"Rau cu qua/Rau pho thong",base,Đỗ,"<p><strong>Đặc điểm:</strong> Đỗ tươi, hạt đều, vỏ mỏng, khi nấu bùi và thơm.</p><p><strong>Công dụng:</strong> Bổ sung chất xơ và đạm thực vật, phù hợp món canh, chè, xào.</p><p><strong>Cách bảo quản:</strong> Để nơi khô thoáng; đã bóc vỏ/đã nấu nên bảo quản kín trong ngăn mát.</p><p><strong>Thời hạn sử dụng:</strong> 10-15 ngày (khô), 2-3 ngày (đã sơ chế trong ngăn mát).</p>","Đỗ tươi - bùi thơm",1,1,Taxable Goods,"Catalog, Search",12000,rcq-003-do,/rau-cu-qua/do.jpg,/rau-cu-qua/do.jpg,/rau-cu-qua/do.jpg,100,1
RCQ_004,Default,simple,"Rau cu qua/Cu qua",base,Khoai tây ta,"<p><strong>Đặc điểm:</strong> Khoai tây ta củ vừa, vỏ mỏng, ruột vàng nhạt, bở vừa.</p><p><strong>Công dụng:</strong> Cung cấp tinh bột và kali; phù hợp chiên, nghiền, hầm, nấu súp.</p><p><strong>Cách bảo quản:</strong> Để nơi khô, tối, thoáng; tránh ánh nắng và không để gần hành tỏi.</p><p><strong>Thời hạn sử dụng:</strong> 2-3 tuần trong điều kiện bảo quản khô thoáng.</p>","Khoai tây ta - bở ngon",1,1,Taxable Goods,"Catalog, Search",13000,rcq-004-potato,/rau-cu-qua/potato.jpg,/rau-cu-qua/potato.jpg,/rau-cu-qua/potato.jpg,100,1
RCQ_005,Default,simple,"Rau cu qua/Rau gia vi",base,Ớt chuông đỏ,"<p><strong>Đặc điểm:</strong> Ớt chuông đỏ quả to, giòn, vị ngọt, hương thơm nhẹ.</p><p><strong>Công dụng:</strong> Giàu vitamin C và chất chống oxy hoá; dùng salad, xào, nướng.</p><p><strong>Cách bảo quản:</strong> Bọc giấy hoặc để hộp kín, ngăn mát 4-8°C; không rửa trước khi cất.</p><p><strong>Thời hạn sử dụng:</strong> 5-7 ngày trong ngăn mát.</p>","Ớt chuông đỏ - giòn ngọt",1,1,Taxable Goods,"Catalog, Search",22000,rcq-005-red-bell-pepper,/rau-cu-qua/red-bell-pepper.jpg,/rau-cu-qua/red-bell-pepper.jpg,/rau-cu-qua/red-bell-pepper.jpg,100,1
RCQ_006,Default,simple,"Rau cu qua/Rau pho thong",base,Súp lơ trắng,"<p><strong>Đặc điểm:</strong> Súp lơ trắng bông chặt, màu trắng kem, giòn ngọt khi chế biến.</p><p><strong>Công dụng:</strong> Giàu chất xơ và vitamin C; phù hợp luộc, xào, nấu canh, hấp.</p><p><strong>Cách bảo quản:</strong> Bọc màng/để hộp kín, ngăn mát; tốt nhất không ngâm nước trước khi cất.</p><p><strong>Thời hạn sử dụng:</strong> 3-5 ngày trong ngăn mát.</p>","Súp lơ trắng - giòn ngọt",1,1,Taxable Goods,"Catalog, Search",20000,rcq-006-sup-lo-trang,/rau-cu-qua/sup-lo-trang.jpg,/rau-cu-qua/sup-lo-trang.jpg,/rau-cu-qua/sup-lo-trang.jpg,100,1
RCQ_007,Default,simple,"Rau cu qua/Rau pho thong",base,Cà chua,"<p><strong>Đặc điểm:</strong> Cà chua chín đỏ vừa, vỏ mỏng, mọng nước, vị chua ngọt.</p><p><strong>Công dụng:</strong> Giàu lycopene và vitamin A, C; dùng salad, sốt, nấu canh, xào.</p><p><strong>Cách bảo quản:</strong> Tránh ánh nắng trực tiếp; chín vừa để ngoài mát, chín nhiều bảo quản ngăn mát.</p><p><strong>Thời hạn sử dụng:</strong> 3-5 ngày (tuỳ độ chín).</p>","Cà chua - chua ngọt tự nhiên",1,1,Taxable Goods,"Catalog, Search",17000,rcq-007-tomato,/rau-cu-qua/tomato.jpg,/rau-cu-qua/tomato.jpg,/rau-cu-qua/tomato.jpg,100,1
TC_001,Default,simple,"Trai cay/Trai cay nhap khau",base,Táo đỏ,"<p><strong>Đặc điểm:</strong> Táo đỏ giòn, ngọt thanh, vỏ mịn, hương thơm tự nhiên.</p><p><strong>Công dụng:</strong> Bổ sung chất xơ và vitamin; phù hợp ăn trực tiếp, làm salad, nước ép.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn mát trong hộp/túi kín; rửa trước khi ăn.</p><p><strong>Thời hạn sử dụng:</strong> 7-10 ngày trong ngăn mát.</p>","Táo đỏ - giòn ngọt",1,1,Taxable Goods,"Catalog, Search",79000,tc-001-tao-do,/trai-cay/tao-do.jpg,/trai-cay/tao-do.jpg,/trai-cay/tao-do.jpg,100,1
TC_002,Default,simple,"Trai cay/Trai cay pho thong",base,Chuối già,"<p><strong>Đặc điểm:</strong> Chuối già quả đều, thơm, vị ngọt; phù hợp ăn tươi hoặc chế biến.</p><p><strong>Công dụng:</strong> Cung cấp năng lượng, kali; hỗ trợ tiêu hoá, thích hợp bữa phụ.</p><p><strong>Cách bảo quản:</strong> Treo nơi thoáng; khi chín nhiều có thể cho ngăn mát để chậm chín.</p><p><strong>Thời hạn sử dụng:</strong> 3-6 ngày (tuỳ độ chín).</p>","Chuối già - thơm ngọt",1,1,Taxable Goods,"Catalog, Search",28000,tc-002-chuoi-gia,/trai-cay/chuoi-gia.jpg,/trai-cay/chuoi-gia.jpg,/trai-cay/chuoi-gia.jpg,100,1
TC_003,Default,simple,"Trai cay/Trai cay pho thong",base,Cam sành,"<p><strong>Đặc điểm:</strong> Cam sành vỏ xanh sẫm, ruột vàng cam, mọng nước, vị chua ngọt.</p><p><strong>Công dụng:</strong> Giàu vitamin C; tăng đề kháng, phù hợp vắt nước hoặc ăn trực tiếp.</p><p><strong>Cách bảo quản:</strong> Để nơi khô thoáng; tránh xếp chồng; có thể bảo quản ngăn mát nếu thời tiết nóng.</p><p><strong>Thời hạn sử dụng:</strong> 7-12 ngày (tuỳ điều kiện bảo quản).</p>","Cam sành - mọng nước",1,1,Taxable Goods,"Catalog, Search",35000,tc-003-cam-sanh,/trai-cay/cam-sanh.jpg,/trai-cay/cam-sanh.jpg,/trai-cay/cam-sanh.jpg,100,1
